Model,PC,MSE,R2,Q2,MAE,Best Params
MLP,1,4.495720269111526,0.208064826103877,0.1642210892346089,1.945610027798692,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,2,3.861916688831215,0.6536487121580161,0.2820486305977575,1.795260302485339,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,3,5.702177856517019,0.440399973754229,-0.0600659544265123,2.249085351231308,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,4,3.144143023782837,0.862074476054799,0.4154866685628668,1.6093244091026038,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}"
MLP,5,3.2045860140415643,0.6875409669501062,0.4042499871107475,1.642343608011288,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,6,2.9652315102421274,0.9078301047003724,0.4487472944380601,1.5101371681101503,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,7,2.5201638647975355,0.8504374147671163,0.5314877964400033,1.2698043469097031,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,8,2.8248546654021016,0.8640448788717296,0.4748441152930341,1.4689670647654696,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,9,3.2317688146418835,0.872954816996225,0.3991965562659995,1.5018512679480105,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,10,2.4287956518389078,0.8605962968826033,0.5484736454105918,1.393213918485251,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
